DATE,MABMM301CAM189N
1970-01-01,37537000000
1970-02-01,37687000000
1970-03-01,38004000000
1970-04-01,38661000000
1970-05-01,38997000000
1970-06-01,39306000000
1970-07-01,40096000000
1970-08-01,40385000000
1970-09-01,40993000000
1970-10-01,41245000000
1970-11-01,41553000000
1970-12-01,42079000000
1971-01-01,41531000000
1971-02-01,41508000000
1971-03-01,42295000000
1971-04-01,42647000000
1971-05-01,43144000000
1971-06-01,43899000000
1971-07-01,44287000000
1971-08-01,44741000000
1971-09-01,45437000000
1971-10-01,45955000000
1971-11-01,45741000000
1971-12-01,46058000000
1972-01-01,46559000000
1972-02-01,46753000000
1972-03-01,47912000000
1972-04-01,48780000000
1972-05-01,49775000000
1972-06-01,50551000000
1972-07-01,51088000000
1972-08-01,51228000000
1972-09-01,51602000000
1972-10-01,52551000000
1972-11-01,52767000000
1972-12-01,52903000000
1973-01-01,52988000000
1973-02-01,53546000000
1973-03-01,54331000000
1973-04-01,55454000000
1973-05-01,56511000000
1973-06-01,57317000000
1973-07-01,58658000000
1973-08-01,59460000000
1973-09-01,60385000000
1973-10-01,61753000000
1973-11-01,62944000000
1973-12-01,64318000000
1974-01-01,64872000000
1974-02-01,65698000000
1974-03-01,67516000000
1974-04-01,69198000000
1974-05-01,71980000000
1974-06-01,72502000000
1974-07-01,74836000000
1974-08-01,75888000000
1974-09-01,76947000000
1974-10-01,77837000000
1974-11-01,77745000000
1974-12-01,77674000000
1975-01-01,78320000000
1975-02-01,78444000000
1975-03-01,79842000000
1975-04-01,80914000000
1975-05-01,81487000000
1975-06-01,82827000000
1975-07-01,84608000000
1975-08-01,85113000000
1975-09-01,86662000000
1975-10-01,88094000000
1975-11-01,87755000000
1975-12-01,89399000000
1976-01-01,89113000000
1976-02-01,90281000000
1976-03-01,92725000000
1976-04-01,95924000000
1976-05-01,97968000000
1976-06-01,99679000000
1976-07-01,1.01262E+11
1976-08-01,1.02485E+11
1976-09-01,1.03865E+11
1976-10-01,1.04999E+11
1976-11-01,1.05956E+11
1976-12-01,1.07452E+11
1977-01-01,1.0732E+11
1977-02-01,1.07796E+11
1977-03-01,1.10072E+11
1977-04-01,1.12535E+11
1977-05-01,1.15129E+11
1977-06-01,1.16231E+11
1977-07-01,1.17586E+11
1977-08-01,1.1906E+11
1977-09-01,1.21E+11
1977-10-01,1.22077E+11
1977-11-01,1.22957E+11
1977-12-01,1.23276E+11
1978-01-01,1.23033E+11
1978-02-01,1.23412E+11
1978-03-01,1.25963E+11
1978-04-01,1.29037E+11
1978-05-01,1.3091E+11
1978-06-01,1.32559E+11
1978-07-01,1.34801E+11
1978-08-01,1.36615E+11
1978-09-01,1.3916E+11
1978-10-01,1.39994E+11
1978-11-01,1.44953E+11
1978-12-01,1.44968E+11
1979-01-01,1.46877E+11
1979-02-01,1.47885E+11
1979-03-01,1.49162E+11
1979-04-01,1.52496E+11
1979-05-01,1.56467E+11
1979-06-01,1.5887E+11
1979-07-01,1.62598E+11
1979-08-01,1.64381E+11
1979-09-01,1.66032E+11
1979-10-01,1.67807E+11
1979-11-01,1.71377E+11
1979-12-01,1.72348E+11
1980-01-01,1.73809E+11
1980-02-01,1.75226E+11
1980-03-01,1.77565E+11
1980-04-01,1.81084E+11
1980-05-01,1.84284E+11
1980-06-01,1.87035E+11
1980-07-01,1.91313E+11
1980-08-01,1.90319E+11
1980-09-01,1.9158E+11
1980-10-01,1.94196E+11
1980-11-01,1.95963E+11
1980-12-01,1.97152E+11
1981-01-01,2.00757E+11
1981-02-01,2.04035E+11
1981-03-01,2.02868E+11
1981-04-01,2.05764E+11
1981-05-01,2.06193E+11
1981-06-01,2.10478E+11
1981-07-01,2.15376E+11
1981-08-01,2.19467E+11
1981-09-01,2.2116E+11
1981-10-01,2.2051E+11
1981-11-01,2.16352E+11
1981-12-01,2.18993E+11
1982-01-01,2.16628E+11
1982-02-01,2.14436E+11
1982-03-01,2.16326E+11
1982-04-01,2.17584E+11
1982-05-01,2.19028E+11
1982-06-01,2.21011E+11
1982-07-01,2.22732E+11
1982-08-01,2.24067E+11
1982-09-01,2.25538E+11
1982-10-01,2.25437E+11
1982-11-01,2.24763E+11
1982-12-01,2.24449E+11
1983-01-01,2.24907E+11
1983-02-01,2.24122E+11
1983-03-01,2.24519E+11
1983-04-01,2.23456E+11
1983-05-01,2.23544E+11
1983-06-01,2.24525E+11
1983-07-01,2.25831E+11
1983-08-01,2.27004E+11
1983-09-01,2.2779E+11
1983-10-01,2.28074E+11
1983-11-01,2.27374E+11
1983-12-01,2.27698E+11
1984-01-01,2.26534E+11
1984-02-01,2.26536E+11
1984-03-01,2.27392E+11
1984-04-01,2.28943E+11
1984-05-01,2.32517E+11
1984-06-01,2.34964E+11
1984-07-01,2.38014E+11
1984-08-01,2.38432E+11
1984-09-01,2.39206E+11
1984-10-01,2.41365E+11
1984-11-01,2.3937E+11
1984-12-01,2.4275E+11
1985-01-01,2.43168E+11
1985-02-01,2.43279E+11
1985-03-01,2.441E+11
1985-04-01,2.46059E+11
1985-05-01,2.49382E+11
1985-06-01,2.50647E+11
1985-07-01,2.53061E+11
1985-08-01,2.53298E+11
1985-09-01,2.54571E+11
1985-10-01,2.5617E+11
1985-11-01,2.57174E+11
1985-12-01,2.58841E+11
1986-01-01,2.61352E+11
1986-02-01,2.61603E+11
1986-03-01,2.65455E+11
1986-04-01,2.68928E+11
1986-05-01,2.67721E+11
1986-06-01,2.68707E+11
1986-07-01,2.72091E+11
1986-08-01,2.72561E+11
1986-09-01,2.74247E+11
1986-10-01,2.77571E+11
1986-11-01,2.81308E+11
1986-12-01,2.86582E+11
1987-01-01,2.86723E+11
1987-02-01,2.90143E+11
1987-03-01,2.92372E+11
1987-04-01,2.97041E+11
1987-05-01,3.0015E+11
1987-06-01,3.03546E+11
1987-07-01,3.06361E+11
1987-08-01,3.05403E+11
1987-09-01,3.07592E+11
1987-10-01,3.08543E+11
1987-11-01,3.05846E+11
1987-12-01,3.10473E+11
1988-01-01,3.08922E+11
1988-02-01,3.10141E+11
1988-03-01,3.14427E+11
1988-04-01,3.18004E+11
1988-05-01,3.21838E+11
1988-06-01,3.28824E+11
1988-07-01,3.31863E+11
1988-08-01,3.36214E+11
1988-09-01,3.38145E+11
1988-10-01,3.38856E+11
1988-11-01,3.43558E+11
1988-12-01,3.47254E+11
1989-01-01,3.47632E+11
1989-02-01,3.49103E+11
1989-03-01,3.55415E+11
1989-04-01,3.57954E+11
1989-05-01,3.63337E+11
1989-06-01,3.67813E+11
1989-07-01,3.70312E+11
1989-08-01,3.74078E+11
1989-09-01,3.76736E+11
1989-10-01,3.78788E+11
1989-11-01,3.86569E+11
1989-12-01,3.92451E+11
1990-01-01,3.93227E+11
1990-02-01,3.94517E+11
1990-03-01,3.96462E+11
1990-04-01,4.00474E+11
1990-05-01,4.04566E+11
1990-06-01,4.06302E+11
1990-07-01,4.08604E+11
1990-08-01,4.10911E+11
1990-09-01,4.13228E+11
1990-10-01,4.15098E+11
1990-11-01,4.1872E+11
1990-12-01,4.24664E+11
1991-01-01,4.25274E+11
1991-02-01,4.26332E+11
1991-03-01,4.28993E+11
1991-04-01,4.30144E+11
1991-05-01,4.33582E+11
1991-06-01,4.33758E+11
1991-07-01,4.33579E+11
1991-08-01,4.31751E+11
1991-09-01,4.33598E+11
1991-10-01,4.37556E+11
1991-11-01,4.39898E+11
1991-12-01,4.44511E+11
1992-01-01,4.43875E+11
1992-02-01,4.45011E+11
1992-03-01,4.4755E+11
1992-04-01,4.4903E+11
1992-05-01,4.48266E+11
1992-06-01,4.5145E+11
1992-07-01,4.56032E+11
1992-08-01,4.56574E+11
1992-09-01,4.58611E+11
1992-10-01,4.61526E+11
1992-11-01,4.6701E+11
1992-12-01,4.70662E+11
1993-01-01,4.68035E+11
1993-02-01,4.69237E+11
1993-03-01,4.71292E+11
1993-04-01,4.71299E+11
1993-05-01,4.70809E+11
1993-06-01,4.73302E+11
1993-07-01,4.75319E+11
1993-08-01,4.74059E+11
1993-09-01,4.77268E+11
1993-10-01,4.79406E+11
1993-11-01,4.80975E+11
1993-12-01,4.85233E+11
1994-01-01,4.8408E+11
1994-02-01,4.81812E+11
1994-03-01,4.823E+11
1994-04-01,4.86232E+11
1994-05-01,4.8673E+11
1994-06-01,4.92752E+11
1994-07-01,4.97134E+11
1994-08-01,5.00411E+11
1994-09-01,5.02156E+11
1994-10-01,5.03358E+11
1994-11-01,5.0573E+11
1994-12-01,5.09743E+11
1995-01-01,5.06085E+11
1995-02-01,5.04898E+11
1995-03-01,5.0777E+11
1995-04-01,5.11331E+11
1995-05-01,5.13309E+11
1995-06-01,5.17645E+11
1995-07-01,5.21586E+11
1995-08-01,5.2427E+11
1995-09-01,5.26969E+11
1995-10-01,5.27772E+11
1995-11-01,5.34604E+11
1995-12-01,5.36583E+11
1996-01-01,5.35126E+11
1996-02-01,5.37984E+11
1996-03-01,5.38066E+11
1996-04-01,5.41079E+11
1996-05-01,5.45154E+11
1996-06-01,5.48182E+11
1996-07-01,5.4825E+11
1996-08-01,5.49486E+11
1996-09-01,5.50109E+11
1996-10-01,5.56747E+11
1996-11-01,5.59714E+11
1996-12-01,5.6352E+11
1997-01-01,5.59975E+11
1997-02-01,5.62416E+11
1997-03-01,5.67333E+11
1997-04-01,5.68993E+11
1997-05-01,5.68481E+11
1997-06-01,5.70892E+11
1997-07-01,5.70481E+11
1997-08-01,5.74445E+11
1997-09-01,5.78072E+11
1997-10-01,5.84209E+11
1997-11-01,5.87817E+11
1997-12-01,5.96025E+11
1998-01-01,5.89135E+11
1998-02-01,5.85282E+11
1998-03-01,5.83714E+11
1998-04-01,5.87293E+11
1998-05-01,5.89854E+11
1998-06-01,5.95469E+11
1998-07-01,5.95171E+11
1998-08-01,5.95167E+11
1998-09-01,5.97837E+11
1998-10-01,6.03898E+11
1998-11-01,6.02154E+11
1998-12-01,6.14517E+11
1999-01-01,5.99629E+11
1999-02-01,5.98031E+11
1999-03-01,6.01001E+11
1999-04-01,6.08494E+11
1999-05-01,6.10437E+11
1999-06-01,6.16325E+11
1999-07-01,6.17431E+11
1999-08-01,6.19938E+11
1999-09-01,6.22448E+11
1999-10-01,6.31323E+11
1999-11-01,6.36885E+11
1999-12-01,6.43067E+11
2000-01-01,6.39578E+11
2000-02-01,6.45053E+11
2000-03-01,6.51872E+11
2000-04-01,6.58659E+11
2000-05-01,6.55573E+11
2000-06-01,6.57787E+11
2000-07-01,6.66002E+11
2000-08-01,6.75832E+11
2000-09-01,6.80712E+11
2000-10-01,6.81913E+11
2000-11-01,6.85822E+11
2000-12-01,6.96931E+11
2001-01-01,6.92201E+11
2001-02-01,6.87358E+11
2001-03-01,6.89737E+11
2001-04-01,6.9093E+11
2001-05-01,6.96446E+11
2001-06-01,7.01068E+11
2001-07-01,7.01221E+11
2001-08-01,7.01792E+11
2001-09-01,7.13274E+11
2001-10-01,7.11331E+11
2001-11-01,7.18149E+11
2001-12-01,7.30838E+11
2002-01-01,7.24707E+11
2002-02-01,7.24969E+11
2002-03-01,7.2777E+11
2002-04-01,7.29769E+11
2002-05-01,7.32634E+11
2002-06-01,7.40121E+11
2002-07-01,7.47476E+11
2002-08-01,7.50226E+11
2002-09-01,7.55897E+11
2002-10-01,7.54321E+11
2002-11-01,7.61134E+11
2002-12-01,7.70008E+11
2003-01-01,7.60062E+11
2003-02-01,7.52493E+11
2003-03-01,7.61245E+11
2003-04-01,7.71001E+11
2003-05-01,7.80673E+11
2003-06-01,7.93531E+11
2003-07-01,7.99221E+11
2003-08-01,7.93846E+11
2003-09-01,7.97271E+11
2003-10-01,7.99662E+11
2003-11-01,8.10856E+11
2003-12-01,8.21848E+11
2004-01-01,8.23216E+11
2004-02-01,8.26274E+11
2004-03-01,8.31011E+11
2004-04-01,8.4082E+11
2004-05-01,8.52313E+11
2004-06-01,8.55884E+11
2004-07-01,8.59026E+11
2004-08-01,8.65451E+11
2004-09-01,8.6932E+11
2004-10-01,8.77581E+11
2004-11-01,8.86695E+11
2004-12-01,9.0595E+11
2005-01-01,8.98959E+11
2005-02-01,9.1103E+11
2005-03-01,9.16418E+11
2005-04-01,9.25108E+11
2005-05-01,9.32856E+11
2005-06-01,9.46604E+11
2005-07-01,9.51303E+11
2005-08-01,9.52E+11
2005-09-01,9.54849E+11
2005-10-01,9.59711E+11
2005-11-01,9.63807E+11
2005-12-01,9.74887E+11
2006-01-01,9.64012E+11
2006-02-01,9.75203E+11
2006-03-01,9.83258E+11
2006-04-01,9.84257E+11
2006-05-01,9.92855E+11
2006-06-01,1.00644E+12
2006-07-01,1.01057E+12
2006-08-01,1.01875E+12
2006-09-01,1.03204E+12
2006-10-01,1.0401E+12
2006-11-01,1.05193E+12
2006-12-01,1.07096E+12
2007-01-01,1.06165E+12
2007-02-01,1.06627E+12
2007-03-01,1.07534E+12
2007-04-01,1.08341E+12
2007-05-01,1.09514E+12
2007-06-01,1.10938E+12
2007-07-01,1.11889E+12
2007-08-01,1.14047E+12
2007-09-01,1.16355E+12
2007-10-01,1.16657E+12
2007-11-01,1.18549E+12
2007-12-01,1.20098E+12
2008-01-01,1.19725E+12
2008-02-01,1.19642E+12
2008-03-01,1.21306E+12
2008-04-01,1.2217E+12
2008-05-01,1.2425E+12
2008-06-01,1.26662E+12
2008-07-01,1.26855E+12
2008-08-01,1.27736E+12
2008-09-01,1.28944E+12
2008-10-01,1.30177E+12
2008-11-01,1.31185E+12
2008-12-01,1.31879E+12
2009-01-01,1.29921E+12
2009-02-01,1.28436E+12
2009-03-01,1.28197E+12
2009-04-01,1.28725E+12
2009-05-01,1.28552E+12
2009-06-01,1.29634E+12
2009-07-01,1.30054E+12
2009-08-01,1.30167E+12
2009-09-01,1.30895E+12
2009-10-01,1.31516E+12
2009-11-01,1.31957E+12
2009-12-01,1.32947E+12
2010-01-01,1.31719E+12
2010-02-01,1.32239E+12
2010-03-01,1.31992E+12
2010-04-01,1.33604E+12
2010-05-01,1.35399E+12
2010-06-01,1.37364E+12
2010-07-01,1.38226E+12
2010-08-01,1.39517E+12
2010-09-01,1.39195E+12
2010-10-01,1.40404E+12
2010-11-01,1.40918E+12
2010-12-01,1.42135E+12
2011-01-01,1.42003E+12
2011-02-01,1.42098E+12
2011-03-01,1.4297E+12
2011-04-01,1.44107E+12
2011-05-01,1.4456E+12
2011-06-01,1.46201E+12
2011-07-01,1.46615E+12
2011-08-01,1.48593E+12
2011-09-01,1.50749E+12
2011-10-01,1.51296E+12
2011-11-01,1.52536E+12
2011-12-01,1.54183E+12
2012-01-01,1.54595E+12
2012-02-01,1.54076E+12
2012-03-01,1.54936E+12
2012-04-01,1.55724E+12
2012-05-01,1.56405E+12
2012-06-01,1.58034E+12
2012-07-01,1.59012E+12
2012-08-01,1.59282E+12
2012-09-01,1.59312E+12
2012-10-01,1.60515E+12
2012-11-01,1.6134E+12
2012-12-01,1.62874E+12
2013-01-01,1.62834E+12
2013-02-01,1.63326E+12
2013-03-01,1.63771E+12
2013-04-01,1.6449E+12
2013-05-01,1.65963E+12
2013-06-01,1.6781E+12
2013-07-01,1.67822E+12
2013-08-01,1.69362E+12
2013-09-01,1.7115E+12
2013-10-01,1.73031E+12
2013-11-01,1.75396E+12
2013-12-01,1.77933E+12
