DATE,WILLREITIND
1978-02-01,99.1900000000000000
1978-03-01,106.9000000000000000
1978-04-01,112.0400000000000000
1978-05-01,110.1600000000000000
1978-06-01,107.9500000000000000
1978-07-01,112.1600000000000000
1978-08-01,121.1300000000000000
1978-09-01,122.2300000000000000
1978-10-01,103.5100000000000000
1978-11-01,107.1600000000000000
1978-12-01,110.9800000000000000
1979-01-01,118.4200000000000000
1979-02-01,118.3000000000000000
1979-03-01,134.2800000000000000
1979-04-01,135.7100000000000000
1979-05-01,140.0900000000000000
1979-06-01,147.6000000000000000
1979-07-01,152.3700000000000000
1979-08-01,173.0300000000000000
1979-09-01,169.0800000000000000
1979-10-01,151.6700000000000000
1979-11-01,157.5700000000000000
1979-12-01,165.3500000000000000
1980-01-01,179.8400000000000000
1980-02-01,179.0800000000000000
1980-03-01,151.4100000000000000
1980-04-01,159.7900000000000000
1980-05-01,173.1900000000000000
1980-06-01,181.7100000000000000
1980-07-01,202.7000000000000000
1980-08-01,210.1400000000000000
1980-09-01,205.5600000000000000
1980-10-01,228.0500000000000000
1980-11-01,229.2300000000000000
1980-12-01,220.1100000000000000
1981-01-01,222.9500000000000000
1981-02-01,225.0400000000000000
1981-03-01,239.2000000000000000
1981-04-01,242.1200000000000000
1981-05-01,235.9000000000000000
1981-06-01,256.3000000000000000
1981-07-01,258.7600000000000000
1981-08-01,248.9300000000000000
1981-09-01,224.1600000000000000
1981-10-01,242.1400000000000000
1981-11-01,257.9200000000000000
1981-12-01,259.4700000000000000
1982-01-01,246.2400000000000000
1982-02-01,244.4400000000000000
1982-03-01,240.2900000000000000
1982-04-01,247.1100000000000000
1982-05-01,244.8100000000000000
1982-06-01,235.4600000000000000
1982-07-01,230.5600000000000000
1982-08-01,244.8100000000000000
1982-09-01,253.0600000000000000
1982-10-01,287.4300000000000000
1982-11-01,299.6100000000000000
1982-12-01,313.7300000000000000
1983-01-01,318.1200000000000000
1983-02-01,325.8200000000000000
1983-03-01,358.3700000000000000
1983-04-01,380.4100000000000000
1983-05-01,380.3700000000000000
1983-06-01,376.5300000000000000
1983-07-01,374.6100000000000000
1983-08-01,372.7300000000000000
1983-09-01,389.6900000000000000
1983-10-01,392.7700000000000000
1983-11-01,401.2900000000000000
1983-12-01,414.6600000000000000
1984-01-01,427.3000000000000000
1984-02-01,422.2200000000000000
1984-03-01,425.9800000000000000
1984-04-01,430.1100000000000000
1984-05-01,423.3100000000000000
1984-06-01,427.8400000000000000
1984-07-01,423.4400000000000000
1984-08-01,452.6100000000000000
1984-09-01,466.3700000000000000
1984-10-01,476.7200000000000000
1984-11-01,491.8800000000000000
1984-12-01,505.4100000000000000
1985-01-01,526.5900000000000000
1985-02-01,542.9600000000000000
1985-03-01,536.6100000000000000
1985-04-01,536.0200000000000000
1985-05-01,545.2900000000000000
1985-06-01,546.0000000000000000
1985-07-01,556.9200000000000000
1985-08-01,543.9500000000000000
1985-09-01,530.2400000000000000
1985-10-01,534.2200000000000000
1985-11-01,533.0900000000000000
1985-12-01,538.2600000000000000
1986-01-01,552.2600000000000000
1986-02-01,568.4400000000000000
1986-03-01,599.5900000000000000
1986-04-01,596.9500000000000000
1986-05-01,597.5500000000000000
1986-06-01,625.2800000000000000
1986-07-01,619.9600000000000000
1986-08-01,651.7700000000000000
1986-09-01,629.0200000000000000
1986-10-01,651.1600000000000000
1986-11-01,648.0300000000000000
1986-12-01,644.5400000000000000
1987-01-01,669.5400000000000000
1987-02-01,699.5400000000000000
1987-03-01,694.8500000000000000
1987-04-01,680.4000000000000000
1987-05-01,670.6700000000000000
1987-06-01,696.7600000000000000
1987-07-01,693.8300000000000000
1987-08-01,683.9100000000000000
1987-09-01,674.4700000000000000
1987-10-01,567.5000000000000000
1987-11-01,580.6700000000000000
1987-12-01,602.0400000000000000
1988-01-01,637.9200000000000000
1988-02-01,665.5400000000000000
1988-03-01,668.4700000000000000
1988-04-01,671.7400000000000000
1988-05-01,667.7100000000000000
1988-06-01,699.1600000000000000
1988-07-01,710.1400000000000000
1988-08-01,706.8000000000000000
1988-09-01,707.0100000000000000
1988-10-01,706.8700000000000000
1988-11-01,696.9000000000000000
1988-12-01,707.2900000000000000
1989-01-01,716.6200000000000000
1989-02-01,707.9500000000000000
1989-03-01,712.0600000000000000
1989-04-01,723.1700000000000000
1989-05-01,737.9900000000000000
1989-06-01,741.2400000000000000
1989-07-01,764.9600000000000000
1989-08-01,762.8900000000000000
1989-09-01,759.6100000000000000
1989-10-01,730.4400000000000000
1989-11-01,729.7100000000000000
1989-12-01,726.5000000000000000
1990-01-01,698.7500000000000000
1990-02-01,687.0100000000000000
1990-03-01,686.2600000000000000
1990-04-01,671.8400000000000000
1990-05-01,660.7600000000000000
1990-06-01,668.5600000000000000
1990-07-01,651.5700000000000000
1990-08-01,593.0000000000000000
1990-09-01,544.7900000000000000
1990-10-01,520.8700000000000000
1990-11-01,556.0800000000000000
1990-12-01,556.1900000000000000
1991-01-01,608.9200000000000000
1991-02-01,632.5500000000000000
1991-03-01,689.7300000000000000
1991-04-01,692.4200000000000000
1991-05-01,697.5400000000000000
1991-06-01,676.4100000000000000
1991-07-01,669.6400000000000000
1991-08-01,660.2000000000000000
1991-09-01,670.4300000000000000
1991-10-01,659.8400000000000000
1991-11-01,657.6000000000000000
1991-12-01,688.7700000000000000
1992-01-01,722.8600000000000000
1992-02-01,724.0900000000000000
1992-03-01,718.0100000000000000
1992-04-01,712.4800000000000000
1992-05-01,721.0300000000000000
1992-06-01,704.9500000000000000
1992-07-01,728.2800000000000000
1992-08-01,732.0000000000000000
1992-09-01,757.9800000000000000
1992-10-01,757.7600000000000000
1992-11-01,772.7600000000000000
1992-12-01,793.0100000000000000
1993-01-01,845.8200000000000000
1993-02-01,900.8800000000000000
1993-03-01,963.0500000000000000
1993-04-01,904.9700000000000000
1993-05-01,888.3200000000000000
1993-06-01,921.9900000000000000
1993-07-01,931.9500000000000000
1993-08-01,953.9400000000000000
1993-09-01,992.1000000000000000
1993-10-01,961.5400000000000000
1993-11-01,912.5000000000000000
1993-12-01,913.0500000000000000
1994-01-01,935.1500000000000000
1994-02-01,976.6700000000000000
1994-03-01,937.0100000000000000
1994-04-01,949.8500000000000000
1994-05-01,969.5100000000000000
1994-06-01,950.1200000000000000
1994-07-01,944.9000000000000000
1994-08-01,945.0900000000000000
1994-09-01,931.6700000000000000
1994-10-01,893.5600000000000000
1994-11-01,862.9100000000000000
1994-12-01,937.3000000000000000
1995-01-01,905.1500000000000000
1995-02-01,919.9000000000000000
1995-03-01,918.6100000000000000
1995-04-01,912.3700000000000000
1995-05-01,950.1400000000000000
1995-06-01,969.2300000000000000
1995-07-01,982.6100000000000000
1995-08-01,991.6500000000000000
1995-09-01,1011.0900000000000000
1995-10-01,980.0500000000000000
1995-11-01,991.6100000000000000
1995-12-01,1052.0000000000000000
1996-01-01,1064.9400000000000000
1996-02-01,1074.0895000000000000
1996-03-01,1081.5947619047619048
1996-04-01,1069.4966666666666667
1996-05-01,1092.1777272727272727
1996-06-01,1112.9180000000000000
1996-07-01,1118.7940909090909091
1996-08-01,1155.7254545454545455
1996-09-01,1186.5625000000000000
1996-10-01,1217.8404347826086957
1996-11-01,1272.9445000000000000
1996-12-01,1358.3047619047619048
1997-01-01,1438.5395454545454545
1997-02-01,1450.8352631578947368
1997-03-01,1488.6850000000000000
1997-04-01,1416.6054545454545455
1997-05-01,1432.5619047619047619
1997-06-01,1479.3552380952380952
1997-07-01,1547.6309090909090909
1997-08-01,1558.2414285714285714
1997-09-01,1622.5057142857142857
1997-10-01,1690.8917391304347826
1997-11-01,1658.8921052631578947
1997-12-01,1691.4959090909090909
1998-01-01,1712.4700000000000000
1998-02-01,1694.5426315789473684
1998-03-01,1661.8136363636363636
1998-04-01,1677.6723809523809524
1998-05-01,1652.6655000000000000
1998-06-01,1599.2422727272727273
1998-07-01,1619.8700000000000000
1998-08-01,1486.9100000000000000
1998-09-01,1402.2323809523809524
1998-10-01,1385.0386363636363636
1998-11-01,1440.9845000000000000
1998-12-01,1430.6486363636363636
1999-01-01,1431.9678947368421053
1999-02-01,1386.8442105263157895
1999-03-01,1362.4182608695652174
1999-04-01,1434.8838095238095238
1999-05-01,1541.0375000000000000
1999-06-01,1532.3859090909090909
1999-07-01,1487.3557142857142857
1999-08-01,1444.3995454545454545
1999-09-01,1416.2757142857142857
1999-10-01,1364.2685714285714286
1999-11-01,1364.9395238095238095
1999-12-01,1336.2500000000000000
2000-01-01,1418.7680000000000000
2000-02-01,1393.2145000000000000
2000-03-01,1396.5791304347826087
2000-04-01,1494.4821052631578947
2000-05-01,1572.7186363636363636
2000-06-01,1608.5068181818181818
2000-07-01,1687.3020000000000000
2000-08-01,1731.1769565217391304
2000-09-01,1726.2845000000000000
2000-10-01,1675.5209090909090909
2000-11-01,1677.3857142857142857
2000-12-01,1785.2585000000000000
2001-01-01,1813.5142857142857143
2001-02-01,1794.3084210526315789
2001-03-01,1805.9531818181818182
2001-04-01,1801.6195000000000000
2001-05-01,1862.9254545454545455
2001-06-01,1955.2828571428571429
2001-07-01,1983.4300000000000000
2001-08-01,2049.8343478260869565
2001-09-01,1940.0460000000000000
2001-10-01,1917.5886956521739130
2001-11-01,1961.8309523809523810
2001-12-01,2033.2170000000000000
2002-01-01,2051.1780952380952381
2002-02-01,2067.2447368421052632
2002-03-01,2190.0535000000000000
2002-04-01,2257.4581818181818182
2002-05-01,2236.9350000000000000
2002-06-01,2281.1435000000000000
2002-07-01,2141.2572727272727273
2002-08-01,2144.1372727272727273
2002-09-01,2162.2265000000000000
2002-10-01,2001.9491304347826087
2002-11-01,2064.4850000000000000
2002-12-01,2107.9680952380952381
2003-01-01,2083.0971428571428571
2003-02-01,2066.6089473684210526
2003-03-01,2120.8500000000000000
2003-04-01,2234.4719047619047619
2003-05-01,2342.6428571428571429
2003-06-01,2403.0971428571428571
2003-07-01,2487.8754545454545455
2003-08-01,2529.4028571428571429
2003-09-01,2615.5400000000000000
2003-10-01,2720.0369565217391304
2003-11-01,2769.2384210526315789
2003-12-01,2864.1713636363636364
2004-01-01,2920.2655000000000000
2004-02-01,3047.4152631578947368
2004-03-01,3161.7560869565217391
2004-04-01,2903.6514285714285714
2004-05-01,2801.6005000000000000
2004-06-01,3013.0571428571428571
2004-07-01,3111.2138095238095238
2004-08-01,3196.6704545454545455
2004-09-01,3317.6423809523809524
2004-10-01,3443.0947619047619048
2004-11-01,3604.5685714285714286
2004-12-01,3797.5936363636363636
2005-01-01,3622.8105000000000000
2005-02-01,3650.8010526315789474
2005-03-01,3629.4854545454545455
2005-04-01,3643.3919047619047619
2005-05-01,3872.2614285714285714
2005-06-01,4068.7472727272727273
2005-07-01,4294.1125000000000000
2005-08-01,4227.9552173913043478
2005-09-01,4268.4666666666666667
2005-10-01,4091.8128571428571429
2005-11-01,4264.0542857142857143
2005-12-01,4412.3723809523809524
2006-01-01,4623.6525000000000000
2006-02-01,4751.0447368421052632
2006-03-01,4998.8065217391304348
2006-04-01,4879.2500000000000000
2006-05-01,4797.3277272727272727
2006-06-01,4877.0000000000000000
2006-07-01,5123.5605000000000000
2006-08-01,5244.2643478260869565
2006-09-01,5454.2250000000000000
2006-10-01,5696.0968181818181818
2006-11-01,5811.0066666666666667
2006-12-01,5992.6565000000000000
2007-01-01,6193.4045000000000000
2007-02-01,6601.5157894736842105
2007-03-01,6187.0690909090909091
2007-04-01,6270.9055000000000000
2007-05-01,6048.2881818181818182
2007-06-01,5827.3509523809523810
2007-07-01,5592.1904761904761905
2007-08-01,5316.4578260869565217
2007-09-01,5530.7826315789473684
2007-10-01,5790.8334782608695652
2007-11-01,5211.4242857142857143
2007-12-01,5058.2845000000000000
2008-01-01,4656.8185714285714286
2008-02-01,4800.5210000000000000
2008-03-01,4870.8350000000000000
2008-04-01,5316.8531818181818182
2008-05-01,5395.9085714285714286
2008-06-01,5074.4923809523809524
2008-07-01,4742.4036363636363636
2008-08-01,4968.1295238095238095
2008-09-01,4981.9361904761904762
2008-10-01,3564.1452173913043478
2008-11-01,2648.5605263157894737
2008-12-01,2709.4613636363636364
2009-01-01,2639.2425000000000000
2009-02-01,2212.7400000000000000
2009-03-01,1934.7486363636363636
2009-04-01,2380.6985714285714286
2009-05-01,2601.8850000000000000
2009-06-01,2654.3931818181818182
2009-07-01,2621.9854545454545455
2009-08-01,3198.0057142857142857
2009-09-01,3445.1252380952380952
2009-10-01,3456.2572727272727273
2009-11-01,3528.9285000000000000
2009-12-01,3780.5304545454545455
2010-01-01,3783.0742105263157895
2010-02-01,3695.6178947368421053
2010-03-01,4137.0378260869565217
2010-04-01,4424.7980952380952381
2010-05-01,4357.0205000000000000
2010-06-01,4251.0009090909090909
2010-07-01,4227.7685714285714286
2010-08-01,4416.1222727272727273
2010-09-01,4618.6390476190476190
2010-10-01,4787.5766666666666667
2010-11-01,4794.8471428571428571
2010-12-01,4825.0090909090909091
2011-01-01,4993.9470000000000000
2011-02-01,5202.9073684210526316
2011-03-01,5153.3078260869565217
2011-04-01,5340.6120000000000000
2011-05-01,5523.9490476190476190
2011-06-01,5404.5631818181818182
2011-07-01,5649.8915000000000000
2011-08-01,5047.0956521739130435
2011-09-01,4989.3466666666666667
2011-10-01,4928.2414285714285714
2011-11-01,5130.8700000000000000
2011-12-01,5233.3500000000000000
2012-01-01,5544.9850000000000000
2012-02-01,5793.9450000000000000
2012-03-01,5844.3568181818181818
2012-04-01,5973.6745000000000000
2012-05-01,6025.1309090909090909
2012-06-01,5950.0290476190476190
2012-07-01,6281.3847619047619048
2012-08-01,6278.5769565217391304
2012-09-01,6348.4042105263157895
2012-10-01,6196.5023809523809524
2012-11-01,6092.0433333333333333
2012-12-01,6245.5205000000000000
2013-01-01,6544.7528571428571429
2013-02-01,6645.9721052631578947
2013-03-01,6742.8480000000000000
2013-04-01,7074.7922727272727273
2013-05-01,7290.4813636363636364
2013-06-01,6698.6700000000000000
2013-07-01,6929.2404545454545455
2013-08-01,6510.5145454545454545
2013-09-01,6532.1565000000000000
2013-10-01,6749.3178260869565217
2013-11-01,6589.2125000000000000
2013-12-01,6443.7366666666666667
2014-01-01,6611.4028571428571429
2014-02-01,6896.5057894736842105
2014-03-01,7054.6647619047619048
2014-04-01,7248.2276190476190476
2014-05-01,7494.9200000000000000
2014-06-01,7604.8400000000000000
2014-07-01,7739.4277272727272727
2014-08-01,7761.9228571428571429
2014-09-01,7624.4685714285714286
2014-10-01,7752.7369565217391304
2014-11-01,8238.4000000000000000
2014-12-01,8492.3881818181818182
2015-01-01,9079.0740000000000000
2015-02-01,8948.1242105263157895
2015-03-01,8807.5718181818181818
2015-04-01,8751.9095238095238095
2015-05-01,8475.2370000000000000
2015-06-01,8245.6363636363636364
2015-07-01,8399.3390909090909091
2015-08-01,8427.0990476190476190
2015-09-01,8083.9042857142857143
2015-10-01,8718.5627272727272727
2015-11-01,8646.8225000000000000
2015-12-01,8747.1540909090909091
2016-01-01,8564.0568421052631579
2016-02-01,8304.5955000000000000
2016-03-01,9010.8804545454545455
2016-04-01,9240.6566666666666667
2016-05-01,9320.9133333333333333
2016-06-01,9447.4804545454545455
2016-07-01,10093.6050000000000000
2016-08-01,10040.9034782608695652
2016-09-01,9821.7800000000000000
2016-10-01,9325.2319047619047619
2016-11-01,8989.9047619047619048
2016-12-01,9335.7057142857142857
2017-01-01,9574.0885000000000000
2017-02-01,9613.9157894736842105
2017-03-01,9471.5078260869565217
2017-04-01,9710.9468421052631579
2017-05-01,9483.7113636363636364
2017-06-01,9732.1077272727272727
2017-07-01,9702.4705000000000000
2017-08-01,9716.0947826086956522
2017-09-01,9821.9200000000000000
2017-10-01,9817.3990909090909091
2017-11-01,9944.1152380952380952
2017-12-01,9907.0320000000000000
2018-01-01,9578.8619047619047619
2018-02-01,8967.6884210526315789
2018-03-01,9053.7447619047619048
2018-04-01,9144.4447619047619048
2018-05-01,9447.0859090909090909
2018-06-01,9859.3385714285714286
